0,335,50,37,78
1,316,54,47,83
2,325,50,40,85
3,354,20,69,57
4,357,20,65,58
5,356,30,60,54
6,340,23,74,63
7,349,21,71,59
8,364,20,61,55
9,351,25,63,61
10,387,19,45,49
11,364,16,60,60
12,377,10,61,52
13,358,18,69,55
14,349,22,63,66
15,344,15,69,72
16,357,21,62,60
17,350,13,72,65
18,360,20,70,50
19,343,18,74,65
20,354,20,62,64
21,356,16,66,62
22,350,13,79,58
23,326,15,77,82
24,364,17,58,61
25,341,20,72,67
26,373,10,59,58
27,361,17,67,55
28,367,13,63,57
29,362,19,58,61
30,357,17,70,56
31,366,14,67,53
32,359,14,58,69
33,360,19,59,62
34,343,14,69,74
35,358,20,75,47
36,341,22,87,50
37,340,19,76,65
38,341,16,78,65
39,336,15,83,66
40,363,18,64,55
41,349,17,62,72
42,342,20,74,64
43,346,19,80,55
44,353,12,86,49
45,357,17,57,69
46,349,23,63,65
47,356,11,67,66
48,357,22,65,56
49,373,15,60,52
50,343,13,79,65
51,361,10,68,61
52,356,17,56,71
53,345,12,75,68
54,343,14,71,72
55,365,8,63,64
56,347,17,71,65
57,361,17,70,52
58,387,13,52,48
59,354,19,65,62
60,348,15,81,56
61,341,9,76,74
62,363,16,71,50
63,369,11,65,55
64,360,11,61,68
65,364,14,62,60
66,345,18,82,55
67,347,20,61,72
68,365,18,60,57
69,371,12,66,51
70,369,15,60,56
71,354,12,80,54
72,346,10,74,70
73,349,16,75,60
74,368,17,59,56
75,373,13,52,62
76,350,13,69,68
77,364,9,67,60
78,356,14,74,56
79,350,12,78,60
80,361,14,59,66
81,347,24,58,71
82,360,14,74,52
83,367,7,66,60
84,341,16,71,72
85,366,16,60,58
86,338,22,82,58
87,372,10,50,68
88,375,17,60,48
89,345,18,68,69
90,349,14,70,67
91,360,8,81,51
92,349,21,57,73
93,350,19,66,65
94,360,13,65,62
95,344,18,76,62
96,363,10,69,58
97,358,15,67,60
98,359,11,118,12
99,357,15,120,8
100,355,8,130,7
101,336,12,147,5
102,366,7,121,6
103,361,13,100,26
104,336,16,108,40
105,351,8,92,49
106,365,9,91,35
107,355,15,80,50
108,355,12,86,47
109,359,17,79,45
110,365,10,85,40
111,366,20,76,38
112,356,12,85,47
113,377,13,70,40
114,363,10,84,43
115,342,17,84,57
116,349,14,81,56
117,367,16,66,51
118,339,13,88,60
119,349,16,82,53
120,369,9,84,38
121,360,11,72,57
122,367,17,70,46
123,366,14,71,49
124,355,14,86,45
125,360,9,75,56
126,354,17,80,49
127,353,20,81,46
128,375,12,78,35
129,370,10,70,50
130,348,10,93,49
131,352,12,85,51
132,353,13,87,47
133,366,5,84,45
134,374,9,76,41
135,334,16,96,54
136,345,13,78,64
137,375,15,60,50
138,349,18,87,46
139,365,11,72,52
140,356,12,81,51
141,357,8,83,52
142,367,12,83,38
143,350,20,81,49
144,359,13,76,52
145,355,11,81,53
146,353,17,73,57
147,364,17,75,44
148,360,14,84,42
149,365,7,77,51
150,364,16,74,46
151,350,14,82,54
152,367,10,79,44
153,349,10,73,68
154,361,9,80,50
155,372,7,78,43
156,364,7,76,53
157,353,12,84,51
158,359,10,78,53
159,363,9,81,47
160,361,4,88,47
161,353,9,88,50
162,369,9,80,42
163,380,12,71,37
164,358,5,83,54
165,355,9,80,56
166,362,11,81,46
167,368,10,75,47
168,359,8,84,49
169,365,14,68,53
170,374,5,68,53
171,345,19,81,55
172,365,12,82,41
173,351,14,88,47
174,352,9,88,51
175,344,14,96,46
176,343,10,100,47
177,361,7,87,45
178,356,11,85,48
179,352,12,78,58
180,346,11,90,53
181,378,6,77,39
182,370,9,81,40
183,345,6,86,63
184,349,17,87,47
185,356,15,86,43
186,339,9,102,50
187,350,7,90,53
188,352,6,92,50
189,362,9,87,42
190,368,13,85,34
191,376,10,76,38
192,371,7,79,43
193,374,9,77,40
194,362,5,90,43
195,375,7,74,44
196,332,7,95,66
197,365,8,86,41
