0,429,21,13,37
1,435,12,13,40
2,427,24,9,40
3,432,21,12,35
4,409,31,11,49
5,431,23,5,41
6,429,26,4,41
7,426,29,5,40
8,436,22,9,33
9,430,30,7,33
10,433,20,4,43
11,415,26,6,53
12,437,18,2,43
13,428,30,7,35
14,423,19,5,53
15,440,18,3,39
16,428,20,7,45
17,430,20,7,43
18,434,20,6,40
19,425,26,8,41
20,431,22,10,37
21,421,30,10,39
22,424,25,7,44
23,434,17,8,41
24,425,20,6,49
25,431,21,5,43
26,425,23,10,42
27,427,28,8,37
28,426,25,7,42
29,422,23,2,53
30,426,20,3,51
31,416,29,11,44
32,435,21,7,37
33,433,23,3,41
34,406,24,7,63
35,420,28,8,44
36,428,24,9,39
37,421,15,11,53
38,432,12,10,46
39,428,17,8,47
40,417,27,5,51
41,442,22,1,35
42,433,19,7,41
43,428,21,5,46
44,421,28,6,45
45,423,28,6,43
46,423,21,9,47
47,425,33,5,37
48,436,21,8,35
49,423,27,10,40
50,409,33,12,46
51,435,22,6,37
52,420,23,5,52
53,416,23,5,56
54,428,17,3,52
55,425,27,6,42
56,418,24,7,51
57,427,25,7,41
58,443,18,6,33
59,439,20,9,32
60,415,30,4,51
61,423,32,5,40
62,425,24,5,46
63,433,19,3,45
64,422,29,4,45
65,442,19,7,32
66,422,23,11,44
67,415,26,11,48
68,432,19,5,44
69,424,24,10,42
70,422,29,9,40
71,422,25,6,47
72,427,23,9,41
73,425,30,5,40
74,416,35,7,42
75,416,25,8,51
76,416,37,11,36
77,417,31,8,44
78,435,28,9,28
79,405,36,6,53
80,424,35,4,37
81,418,25,6,51
82,415,37,11,37
83,427,31,5,37
84,415,33,4,48
85,418,29,7,46
86,418,27,11,44
87,416,31,12,41
88,410,36,8,46
89,412,36,8,44
90,430,31,9,30
91,411,27,10,52
92,413,28,13,46
93,421,31,7,41
94,435,19,13,33
95,415,30,13,42
96,410,40,12,38
97,417,26,9,48
98,421,26,12,41
99,418,24,15,43
100,419,39,8,34
101,425,33,6,36
102,423,23,7,47
103,432,27,8,33
104,414,34,13,39
105,408,33,17,42
106,422,31,13,34
107,421,34,7,38
108,414,37,10,39
109,423,32,4,41
110,419,30,8,43
111,412,36,11,41
112,418,33,11,38
113,433,30,5,32
114,420,30,13,37
115,413,26,8,53
116,422,32,13,33
117,414,33,6,47
118,426,29,10,35
119,420,28,14,38
120,430,25,9,36
121,419,35,5,41
122,431,25,8,36
123,429,35,8,28
124,416,27,11,46
125,415,30,8,47
126,422,28,10,40
127,427,22,11,40
128,423,25,8,44
129,426,24,5,45
130,420,26,7,47
131,426,25,7,42
132,425,31,7,37
133,421,29,9,41
134,430,27,6,37
135,443,18,6,33
136,429,21,4,46
137,413,25,5,57
138,419,33,9,39
139,431,26,7,36
140,424,15,9,52
141,431,25,7,37
142,443,25,6,26
143,436,11,10,43
144,430,22,5,43
145,422,29,4,45
146,412,28,8,52
147,429,25,7,39
148,425,29,9,37
149,434,18,11,37
150,424,27,6,43
151,421,21,9,49
152,438,17,8,37
153,430,29,3,38
154,426,26,4,44
155,433,20,4,43
156,427,24,6,43
157,431,22,6,41
158,426,21,4,49
159,433,22,4,41
160,433,22,5,40
161,442,17,8,33
162,419,27,8,46
163,422,22,6,50
164,409,26,4,61
165,426,21,3,50
166,430,24,5,41
167,417,25,9,49
168,429,19,8,44
169,430,20,7,43
170,437,17,4,42
171,436,31,5,28
172,434,26,4,36
173,414,27,6,53
174,420,29,11,40
175,424,28,3,45
176,421,21,5,53
177,427,23,4,46
178,424,18,5,53
179,431,21,7,41
180,429,17,7,47
181,431,22,10,37
182,419,27,7,47
183,437,24,5,34
184,424,23,5,48
185,426,23,6,45
186,426,22,7,45
187,426,29,5,40
188,427,12,8,53
189,434,17,3,46
190,430,24,8,38
191,418,27,8,47
192,419,19,7,55
193,429,25,0,46
194,418,16,9,57
195,419,23,5,53
196,431,25,3,41
197,423,19,7,51
