0,228,157,83,32
1,209,166,102,23
2,212,172,93,23
3,235,156,94,15
4,230,148,106,16
5,248,135,100,17
6,232,146,98,24
7,239,145,100,16
8,254,128,102,16
9,282,102,106,10
10,249,134,105,12
11,280,118,92,10
12,271,107,109,13
13,269,108,109,14
14,264,121,107,8
15,273,106,113,8
16,279,121,91,9
17,274,100,117,9
18,294,96,101,9
19,287,102,99,12
20,296,85,109,10
21,289,100,101,10
22,311,68,114,7
23,301,91,105,3
24,306,70,121,3
25,301,77,116,6
26,319,70,102,9
27,322,62,115,1
28,330,68,95,7
29,327,70,97,6
30,324,68,103,5
31,267,114,82,37
32,239,140,56,65
33,213,166,59,62
34,245,125,68,62
35,254,122,66,58
36,273,116,65,46
37,303,84,68,45
38,281,98,79,42
39,312,68,75,45
40,320,63,78,39
41,312,64,88,36
42,329,56,69,46
43,326,58,81,35
44,360,38,77,25
45,350,34,84,32
46,340,43,81,36
47,351,42,81,26
48,361,31,74,34
49,348,35,88,29
50,357,35,83,25
51,356,26,95,23
52,368,23,87,22
53,379,21,80,20
54,353,33,90,24
55,366,21,93,20
56,385,19,78,18
57,355,21,99,25
58,365,23,94,18
59,361,25,91,23
60,347,25,96,32
61,354,28,93,25
62,360,32,89,19
63,370,21,82,27
64,365,40,76,19
65,339,47,73,41
66,333,50,74,43
67,339,42,81,38
68,336,40,84,40
69,353,40,76,31
70,338,50,70,42
71,349,44,70,37
72,344,41,85,30
73,328,44,86,42
74,330,44,88,38
75,355,31,76,38
76,338,23,96,43
77,335,31,99,35
78,350,30,89,31
79,367,29,73,31
80,357,23,94,26
81,354,27,92,27
82,372,28,80,20
83,361,22,82,35
84,353,20,88,39
85,348,45,78,29
86,365,25,79,31
87,367,25,78,30
88,349,24,100,27
89,364,22,87,27
90,358,24,86,32
91,370,21,81,28
92,361,22,92,25
93,376,16,79,29
94,381,23,75,21
95,351,13,104,32
96,371,15,90,24
97,359,32,88,21
98,391,1,105,3
99,375,0,120,5
100,395,1,102,2
101,372,0,118,10
102,392,0,99,9
103,381,2,114,3
104,386,1,104,9
105,388,0,103,9
106,387,0,105,8
107,383,2,108,7
108,391,0,101,8
109,370,3,115,12
110,380,0,109,11
111,382,0,114,4
112,380,0,114,6
113,379,0,112,9
114,381,2,108,9
115,391,0,97,12
116,367,1,121,11
117,405,0,91,4
118,367,0,124,9
119,371,2,119,8
120,383,1,108,8
121,380,3,104,13
122,391,0,106,3
123,392,0,98,10
124,380,2,110,8
125,377,3,109,11
126,379,3,114,4
127,384,0,107,9
128,405,4,83,8
129,391,2,96,11
130,369,2,119,10
131,294,86,84,36
132,291,100,85,24
133,297,91,82,30
134,301,83,92,24
135,323,56,92,29
136,336,47,92,25
137,349,38,82,31
138,345,36,95,24
139,357,25,107,11
140,357,17,111,15
141,362,16,105,17
142,393,9,85,13
143,365,22,94,19
144,371,13,97,19
145,361,4,119,16
146,370,9,104,17
147,390,5,99,6
148,400,3,87,10
149,376,5,101,18
150,379,3,103,15
151,386,2,100,12
152,375,6,104,15
153,387,3,96,14
154,389,4,91,16
155,386,3,96,15
156,386,3,99,12
157,366,1,114,19
158,384,4,87,25
159,400,4,78,18
160,352,2,119,27
161,375,1,98,26
162,390,3,88,19
163,386,2,96,16
164,250,120,81,49
165,166,215,63,56
166,182,203,71,44
167,189,199,73,39
168,227,145,84,44
169,251,134,76,39
170,285,95,78,42
171,325,67,74,34
172,313,71,83,33
173,344,52,88,16
174,348,36,98,18
175,343,37,98,22
176,370,29,86,15
177,364,26,98,12
178,370,21,94,15
179,393,15,84,8
180,385,12,93,10
181,364,11,115,10
182,365,14,111,10
183,376,11,103,10
184,373,8,112,7
185,386,7,101,6
186,366,10,121,3
187,385,13,93,9
188,388,10,97,5
189,357,10,124,9
190,388,7,94,11
191,369,7,115,9
192,371,6,113,10
193,369,7,117,7
194,377,6,106,11
195,369,10,106,15
196,402,8,81,9
