0,433,16,3,48
1,415,30,9,46
2,391,50,6,53
3,402,57,2,39
4,401,53,4,42
5,405,36,16,43
6,393,59,8,40
7,400,51,5,44
8,383,64,4,49
9,403,48,13,36
10,368,85,1,46
11,389,62,6,43
12,362,85,6,47
13,368,89,2,41
14,374,71,7,48
15,336,102,8,54
16,362,95,6,37
17,344,116,4,36
18,320,125,3,52
19,369,73,5,53
20,360,86,8,46
21,353,99,2,46
22,352,101,8,39
23,353,97,12,38
24,332,111,14,43
25,361,87,7,45
26,356,104,6,34
27,384,73,9,34
28,380,70,19,31
29,392,53,9,46
30,380,72,10,38
31,395,59,5,41
32,411,36,4,49
33,365,82,7,46
34,424,38,11,27
35,395,68,3,34
36,388,54,7,51
37,403,46,6,45
38,391,57,5,47
39,407,48,10,35
40,383,67,6,44
41,405,49,14,32
42,401,41,13,45
43,379,58,13,50
44,377,73,12,38
45,370,78,19,33
46,373,77,12,38
47,399,53,12,36
48,373,80,7,40
49,347,97,7,49
50,353,101,9,37
51,357,90,9,44
52,326,118,6,50
53,367,90,15,28
54,357,90,12,41
55,343,113,6,38
56,337,108,5,50
57,336,108,11,45
58,381,79,8,32
59,367,84,5,44
60,373,73,6,48
61,368,91,10,31
62,381,72,7,40
63,378,66,12,44
64,382,63,7,48
65,415,33,3,49
66,427,20,8,45
67,428,24,9,39
68,411,34,7,48
69,421,32,9,38
70,413,31,7,49
71,435,23,7,35
72,413,37,11,39
73,419,43,8,30
74,422,31,10,37
75,401,57,8,34
76,388,63,13,36
77,404,56,5,35
78,357,87,7,49
79,382,74,10,34
80,378,64,13,45
81,368,85,7,40
82,395,56,7,42
83,331,111,5,53
84,355,93,15,37
85,367,88,3,42
86,336,107,11,46
87,388,56,8,48
88,327,124,8,41
89,328,114,9,49
90,354,108,7,31
91,358,85,7,50
92,255,187,8,50
93,328,129,8,35
94,318,131,7,44
95,335,110,8,47
96,387,69,9,35
97,373,68,5,54
98,372,87,12,29
99,402,47,11,40
100,404,50,5,41
101,380,55,5,60
102,389,61,10,40
103,398,47,6,49
104,397,65,9,29
105,415,42,7,36
106,327,114,6,53
107,385,61,6,48
108,351,83,17,49
109,355,83,14,48
110,372,77,6,45
111,367,89,6,38
112,380,71,10,39
113,343,101,12,44
114,330,111,3,56
115,329,119,5,47
116,345,104,9,42
117,336,106,10,48
118,353,103,10,34
119,303,148,13,36
120,330,120,11,39
121,313,136,9,42
122,298,155,7,40
123,337,118,9,36
124,283,166,7,44
125,340,114,10,36
126,354,104,8,34
127,320,142,7,31
128,371,90,10,29
129,345,115,6,34
130,334,114,9,43
131,370,76,13,41
132,386,73,13,28
133,365,80,17,38
134,370,86,10,34
135,387,65,15,33
136,352,102,12,34
137,386,58,14,42
138,358,86,18,38
139,330,118,10,42
140,374,76,14,36
141,349,101,19,31
142,335,123,8,34
143,319,137,11,33
144,357,96,18,29
145,333,118,11,38
146,308,140,11,41
147,319,130,14,37
148,291,154,12,43
149,305,150,12,33
150,257,190,10,43
151,265,190,6,39
152,290,155,10,45
153,271,177,14,38
154,264,179,21,36
155,279,174,13,34
156,280,166,14,40
157,301,155,10,34
158,269,168,11,52
159,318,138,11,33
160,305,145,10,40
161,325,122,13,40
162,307,147,10,36
163,362,87,18,33
164,363,87,8,42
165,363,75,27,35
166,372,79,13,36
167,385,61,16,38
168,390,60,9,41
169,382,62,15,41
170,386,53,18,43
171,391,56,11,42
172,368,84,6,42
173,392,60,8,40
174,373,90,3,34
175,381,67,13,39
176,383,80,11,26
177,355,100,10,35
178,367,88,13,32
179,363,87,17,33
180,324,129,14,33
181,312,134,14,40
182,320,130,14,36
183,309,140,15,36
184,306,149,12,33
185,300,153,10,37
186,272,175,4,49
187,287,163,5,45
188,351,95,19,35
189,277,166,5,52
190,339,109,21,31
191,262,198,10,30
192,323,132,8,37
193,300,147,13,40
194,279,160,9,52
195,338,114,12,36
196,327,127,6,40
197,330,123,11,36
198,335,100,15,50
