0,332,26,32,110
1,322,27,27,124
2,356,4,61,79
3,340,2,68,90
4,332,7,89,72
5,342,5,74,79
6,346,2,93,59
7,341,4,85,70
8,345,3,95,57
9,356,3,78,63
10,337,10,95,58
11,353,8,76,63
12,339,3,102,56
13,349,6,96,49
14,345,3,100,52
15,354,2,92,52
16,334,5,112,49
17,358,4,98,40
18,338,4,103,55
19,343,2,113,42
20,354,1,110,35
21,351,1,103,45
22,361,0,104,35
23,335,1,120,44
24,343,0,118,39
25,329,0,113,58
26,355,0,101,44
27,361,1,94,44
28,335,0,113,52
29,342,1,102,55
30,336,3,98,63
31,360,2,87,51
32,363,1,77,59
33,350,2,93,55
34,336,2,93,69
35,364,7,60,69
36,339,4,83,74
37,358,2,84,56
38,337,3,76,84
39,338,4,75,83
40,368,2,71,59
41,351,4,93,52
42,342,1,88,69
43,347,5,79,69
44,347,3,71,79
45,348,1,104,47
46,352,2,98,48
47,344,3,96,57
48,348,3,92,57
49,343,2,99,56
50,347,2,101,50
51,356,2,94,48
52,346,3,106,45
53,343,2,117,38
54,361,3,98,38
55,347,2,113,38
56,353,2,100,45
57,345,0,120,35
58,333,3,126,38
59,355,0,115,30
60,359,3,110,28
61,345,1,124,30
62,347,1,115,37
63,333,2,125,40
64,347,1,117,35
65,350,2,106,42
66,346,0,110,44
67,349,2,105,44
68,361,4,92,43
69,338,6,99,57
70,322,5,121,52
71,333,5,113,49
72,353,3,73,71
73,331,3,94,72
74,345,9,95,51
75,342,8,87,63
76,335,9,105,51
77,359,3,87,51
78,350,4,85,61
79,359,4,89,48
80,354,5,90,51
81,346,3,100,51
82,342,1,121,36
83,370,2,86,42
84,340,1,109,50
85,350,2,112,36
86,341,4,113,42
87,351,2,109,38
88,353,1,95,51
89,346,1,119,34
90,338,1,129,32
91,364,5,88,43
92,364,3,100,33
93,344,3,113,40
94,342,7,78,73
95,338,6,73,83
96,357,7,61,75
97,334,5,55,106
98,352,3,55,90
99,354,7,45,94
100,333,8,39,120
101,340,6,53,101
102,353,3,40,104
103,342,5,51,102
104,347,3,45,105
105,348,7,45,100
106,355,4,49,92
107,337,5,45,113
108,355,6,58,81
109,335,3,66,96
110,346,3,49,102
111,339,4,53,104
112,363,3,51,83
113,343,3,67,87
114,360,3,70,67
115,331,7,88,74
116,351,4,79,66
117,332,1,85,82
118,350,1,79,70
119,347,2,83,68
120,367,0,77,56
121,338,1,107,54
122,340,5,105,50
123,361,2,94,43
124,353,3,95,49
125,343,3,92,62
126,341,2,106,51
127,337,2,104,57
128,345,2,88,65
129,349,1,105,45
130,346,4,94,56
131,339,1,95,65
132,365,2,79,54
133,330,4,89,77
134,344,7,71,78
135,347,2,78,73
136,341,2,75,82
137,349,4,70,77
138,341,5,77,77
139,343,2,59,96
140,358,2,71,69
141,369,4,56,71
142,343,8,65,84
143,319,6,84,91
144,341,3,69,87
145,364,3,70,63
146,340,12,60,88
147,353,7,68,72
148,353,6,67,74
149,342,8,80,70
150,334,0,91,75
151,340,2,94,64
152,349,8,76,67
153,329,4,93,74
154,353,1,74,72
155,342,5,78,75
156,350,0,81,69
157,351,4,84,61
158,342,4,79,75
159,334,4,89,73
160,350,5,80,65
161,357,0,66,77
162,353,5,63,79
163,353,0,81,66
164,343,4,67,86
165,341,0,71,88
166,355,0,55,90
167,348,2,70,80
168,352,4,44,100
169,373,2,48,77
170,356,1,57,86
171,330,2,62,106
172,340,4,44,112
173,340,4,43,113
174,357,5,44,94
175,352,4,37,107
176,335,3,45,117
177,331,5,53,111
178,351,7,49,93
179,351,4,56,89
180,335,3,56,106
181,337,1,66,96
182,353,2,59,86
183,343,2,52,103
184,337,3,67,93
185,340,7,62,91
186,346,5,70,79
187,354,5,66,75
188,334,1,80,85
189,356,1,71,72
190,353,3,58,86
191,350,2,76,72
192,349,4,59,88
193,349,1,75,75
194,336,4,86,74
195,343,3,84,70
196,355,2,71,72
197,347,1,90,62
198,351,2,74,73
