0,397,61,17,25
1,427,22,31,20
2,404,53,11,32
3,411,28,25,36
4,403,40,12,45
5,399,40,18,43
6,414,37,13,36
7,410,31,19,40
8,409,39,10,42
9,424,39,9,28
10,384,61,12,43
11,410,50,9,31
12,401,46,8,45
13,407,45,10,38
14,410,41,5,44
15,415,35,7,43
16,422,33,8,37
17,403,40,9,48
18,413,33,8,46
19,422,36,8,34
20,425,34,1,40
21,405,41,13,41
22,410,35,9,46
23,414,40,7,39
24,418,25,6,51
25,416,42,7,35
26,404,39,10,47
27,409,43,6,42
28,419,31,6,44
29,417,40,8,35
30,423,28,10,39
31,388,70,23,19
32,380,64,36,20
33,406,52,30,12
34,374,63,23,40
35,387,64,12,37
36,393,43,17,47
37,386,62,8,44
38,382,52,16,50
39,401,38,12,49
40,414,44,8,34
41,394,42,14,50
42,398,51,7,44
43,397,53,13,37
44,416,41,6,37
45,415,28,12,45
46,408,51,6,35
47,411,51,8,30
48,411,42,7,40
49,414,43,5,38
50,404,42,16,38
51,418,36,16,30
52,397,52,11,40
53,415,38,14,33
54,405,42,14,39
55,406,42,8,44
56,402,54,13,31
57,412,33,9,46
58,406,46,8,40
59,422,29,8,41
60,399,52,5,44
61,404,59,9,28
62,406,45,14,35
63,404,51,7,38
64,371,75,33,21
65,388,61,48,3
66,381,72,42,5
67,382,58,36,24
68,411,45,20,24
69,382,68,9,41
70,366,72,12,50
71,392,59,13,36
72,385,65,6,44
73,365,79,9,47
74,382,71,9,38
75,388,67,10,35
76,385,62,12,41
77,389,61,7,43
78,380,66,5,49
79,397,53,8,42
80,392,66,6,36
81,402,55,7,36
82,379,62,17,42
83,408,47,6,39
84,384,58,7,51
85,399,57,7,37
86,392,51,9,48
87,398,53,9,40
88,419,48,4,29
89,392,60,7,41
90,400,49,12,39
91,398,59,13,30
92,394,67,7,32
93,390,48,13,49
94,380,55,14,51
95,391,62,11,36
96,387,68,11,34
97,389,62,11,38
98,433,17,45,5
99,435,12,45,8
100,433,12,34,21
101,436,13,25,26
102,435,16,13,36
103,433,14,13,40
104,432,23,10,35
105,415,24,13,48
106,428,19,4,49
107,424,37,4,35
108,422,27,5,46
109,426,25,6,43
110,416,36,6,42
111,412,33,9,46
112,433,22,4,41
113,430,23,2,45
114,419,30,8,43
115,418,32,8,42
116,424,27,4,45
117,443,20,7,30
118,429,26,7,38
119,420,31,5,44
120,408,31,11,50
121,418,26,6,50
122,431,25,2,42
123,435,16,5,44
124,412,36,6,46
125,427,25,6,42
126,400,46,5,49
127,423,28,9,40
128,438,16,3,43
129,410,37,7,46
130,416,32,4,48
131,283,175,33,9
132,352,99,25,24
133,379,67,32,22
134,404,47,26,23
135,411,45,12,32
136,397,51,22,30
137,387,50,20,43
138,397,63,11,29
139,402,41,11,46
140,391,66,7,36
141,387,63,8,42
142,372,77,7,44
143,352,87,8,53
144,367,81,10,42
145,374,73,5,48
146,361,85,7,47
147,384,66,9,41
148,375,63,6,56
149,390,73,6,31
150,386,67,8,39
151,408,55,8,29
152,394,64,4,38
153,392,52,16,40
154,401,40,6,53
155,420,36,7,37
156,388,66,4,42
157,405,50,11,34
158,408,42,10,40
159,424,32,7,37
160,378,57,8,57
161,412,37,11,40
162,407,37,10,46
163,408,44,10,38
164,294,154,17,35
165,250,204,10,36
166,321,121,17,41
167,340,103,19,38
168,378,58,14,50
169,410,46,14,30
170,434,22,8,36
171,424,23,8,45
172,422,28,13,37
173,434,18,14,34
174,430,23,4,43
175,411,30,8,51
176,429,20,6,45
177,425,21,8,46
178,432,24,9,35
179,439,18,5,38
180,435,19,6,40
181,428,23,7,42
182,428,18,6,48
183,436,23,2,39
184,430,16,7,47
185,423,25,6,46
186,429,21,4,46
187,418,18,9,55
188,430,25,7,38
189,432,21,4,43
190,434,17,3,46
191,437,10,11,42
192,428,23,9,40
193,435,22,8,35
194,418,36,4,42
195,429,27,6,38
196,427,32,3,38
